"Time","yolo-server-6b58946cb4-5922k / default / PKG","yolo-server-99847bd7d-pfn7h / default / PKG","yolo-server-6b58946cb4-5922k / default / DRAM","yolo-server-99847bd7d-pfn7h / default / DRAM","yolo-server-6b58946cb4-5922k / default / OTHER","yolo-server-99847bd7d-pfn7h / default / OTHER","yolo-server-6b58946cb4-5922k / default / GPU","yolo-server-99847bd7d-pfn7h / default / GPU"
2024-08-07 20:54:50,,0,,0,,0,,0
2024-08-07 20:55:00,,0,,0,,0,,0
2024-08-07 20:55:10,,0,,0,,0,,0
2024-08-07 20:55:20,,0,,0,,0,,0
2024-08-07 20:55:30,,0,,0,,0,,0
2024-08-07 20:55:40,,3.58,,0,,0,,0
2024-08-07 20:55:50,,3.58,,0,,0,,0
2024-08-07 20:56:00,,3.58,,0,,0,,0
2024-08-07 20:56:10,,9.26,,0,,0,,0
2024-08-07 20:56:20,,9.26,,0,,0,,0
2024-08-07 20:56:30,,9.26,,0,,0,,0
2024-08-07 20:56:40,,9.30,,0,,0,,0
2024-08-07 20:56:50,,9.30,,0,,0,,0
2024-08-07 20:57:00,,9.30,,0,,0,,0
2024-08-07 20:57:10,,9.42,,0,,0,,0
2024-08-07 20:57:20,,9.42,,0,,0,,0
2024-08-07 20:57:30,,9.42,,0,,0,,0
2024-08-07 20:57:40,,9.55,,0,,0,,0
2024-08-07 20:57:50,,9.55,,0,,0,,0
2024-08-07 20:58:00,,9.55,,0,,0,,0
2024-08-07 20:58:10,,9.58,,0,,0,,0
2024-08-07 20:58:20,,9.58,,0,,0,,0
2024-08-07 20:58:30,,9.58,,0,,0,,0
2024-08-07 20:58:40,,9.74,,0,,0,,0
2024-08-07 20:58:50,,9.74,,0,,0,,0
2024-08-07 20:59:00,,9.74,,0,,0,,0
2024-08-07 20:59:10,,9.38,,0,,0,,0
2024-08-07 20:59:20,,9.38,,0,,0,,0
2024-08-07 20:59:30,,9.38,,0,,0,,0
2024-08-07 20:59:40,,9.72,,0,,0,,0
2024-08-07 20:59:50,,9.72,,0,,0,,0
2024-08-07 21:00:00,,9.72,,0,,0,,0
2024-08-07 21:00:10,,9.68,,0,,0,,0
2024-08-07 21:00:20,,9.68,,0,,0,,0
2024-08-07 21:00:30,,9.68,,0,,0,,0
2024-08-07 21:00:40,,9.85,,0,,0,,0
