Timestamp,Expected framerate,Measured framerate
20:52:19.086157,2,1.997
21:05:19.427022,4,3.993
21:18:19.882458,6,5.98
21:31:20.536646,8,7.987
21:44:21.259611,10,9.983
21:57:22.178369,12,11.96
22:10:23.253195,14,13.953
22:23:24.433737,16,15.947
22:36:25.755366,18,17.91
22:49:27.178328,20,19.934
